ep,seed,makespan,done,total,reward,soft,hardExecuted,hardMask,travel,setup,move
1,101,262.225,24,24,281.2046127319336,8,0,8,19.317960801247857,100.0,193.17960801247858
2,102,331.491,24,24,254.92793369293213,10,0,10,26.906889612398928,140.0,269.06889612398925
3,103,306.94,24,24,238.53573417663574,12,0,7,26.54751866474383,170.0,265.4751866474383
4,104,328.819,24,24,255.25197744369507,11,0,17,25.82674166313383,130.0,258.26741663133834
5,105,268.376,24,24,284.7756025791168,3,0,8,10.747987197293453,130.0,107.47987197293452
6,106,390.926,24,24,265.9197874069214,6,0,21,25.267366053442547,140.0,252.6736605344255
7,107,317.768,24,24,250.90923404693604,15,0,21,16.969192168488586,120.0,169.69192168488584
8,108,274.966,24,24,245.6297483444214,16,0,5,16.234149101977692,130.0,162.3414910197769
9,109,274.119,24,24,263.26920652389526,12,0,11,20.769304342598698,110.0,207.69304342598699
10,110,307.018,24,24,275.09382820129395,7,0,13,16.353887130428337,120.0,163.53887130428336
11,101,268.313,24,24,286.5612335205078,2,0,4,16.462538489080266,130.0,164.62538489080265
12,102,293.39,24,24,270.0266251564026,9,0,8,26.577916499524555,110.0,265.77916499524554
13,103,418.449,24,24,243.81908178329468,10,0,34,27.26972492071005,160.0,272.6972492071005
14,104,338.773,24,24,263.23355436325073,12,0,13,19.221473706146583,110.0,192.21473706146583
15,105,304.967,24,24,285.2951498031616,7,0,12,9.016175693052695,100.0,90.16175693052695
16,106,268.999,24,24,268.0852813720703,8,0,5,23.049028984282288,130.0,230.49028984282288
17,107,341.579,24,24,252.83461713790894,9,0,24,12.217911333356964,160.0,122.17911333356965
18,108,279.567,24,24,256.40487480163574,11,0,9,16.983721421643583,140.0,169.83721421643585
19,109,281.668,24,24,246.0210828781128,13,0,3,19.929702696569525,150.0,199.29702696569524
20,110,268.504,24,24,273.9260377883911,8,0,7,16.913209767990228,120.0,169.13209767990227
21,101,427.858,24,24,268.11872959136963,4,0,20,32.93757906515447,140.0,329.3757906515447
22,102,272.972,24,24,255.19073390960693,12,0,7,27.69755064282884,130.0,276.9755064282884
23,103,362.843,24,24,277.7527275085449,5,0,14,22.490901190342726,120.0,224.90901190342726
24,104,301.302,24,24,260.25208568573,15,0,10,17.493027200478533,100.0,174.9302720047853
25,105,329.747,24,24,270.4431209564209,6,0,20,10.189571097835836,140.0,101.89571097835837
26,106,284.476,24,24,270.7618007659912,7,0,11,19.127332521304016,130.0,191.27332521304015
27,107,258.648,24,24,276.4714651107788,10,0,7,13.428444840304858,100.0,134.28444840304857
28,108,316.581,24,24,272.93254470825195,4,0,12,18.558177434838164,150.0,185.58177434838166
29,109,301.336,24,24,264.15960788726807,9,0,8,24.467937834507104,130.0,244.67937834507103
30,110,304.723,24,24,288.7368383407593,4,0,10,14.210512165115485,110.0,142.10512165115486
31,101,299.185,24,24,266.0554246902466,8,0,8,24.815214794033373,130.0,248.15214794033375
32,102,281.698,24,24,269.06616592407227,6,0,5,26.446121724558907,140.0,264.46121724558907
33,103,439.086,24,24,275.2421908378601,5,0,53,15.85934491783647,120.0,158.5934491783647
34,104,328.081,24,24,265.19822454452515,10,0,22,14.339241334460345,120.0,143.39241334460345
35,105,299.322,24,24,274.1294984817505,4,0,8,9.5683411304036,150.0,95.683411304036
36,106,314.557,24,24,268.52391624450684,6,0,8,26.58693946359221,140.0,265.8693946359221
37,107,410.354,24,24,257.5057098865509,8,0,24,23.314279018840498,140.0,233.142790188405
38,108,446.122,24,24,262.8262162208557,3,0,18,33.91259116462531,160.0,339.1259116462531
39,109,285.757,24,24,256.32336807250977,11,0,7,17.255438854878125,140.0,172.55438854878125
40,110,290.147,24,24,276.13585472106934,4,0,4,21.213796204837056,140.0,212.13796204837055
41,101,287.481,24,24,286.3778877258301,4,0,11,23.740382388089753,110.0,237.40382388089753
42,102,268.476,24,24,268.56267070770264,4,0,3,23.12442029101411,160.0,231.24420291014113
43,103,333.608,24,24,275.0097908973694,5,0,23,18.300690643216463,130.0,183.00690643216464
44,104,367.487,24,24,262.1454927921295,6,0,24,24.514998205961742,150.0,245.14998205961743
45,105,306.23,24,24,280.820104598999,3,0,7,15.599635931226606,140.0,155.99635931226607
46,106,351.527,24,24,282.8044214248657,1,0,21,32.31856192874292,130.0,323.18561928742923
47,107,362.531,24,24,264.05229663848877,6,0,23,18.158971608306725,150.0,181.58971608306726
48,108,311.79,24,24,259.30457735061646,8,0,14,18.98472394203539,150.0,189.84723942035393
49,109,263.316,24,24,271.72795391082764,9,0,2,17.573463410438023,120.0,175.73463410438026
50,110,296.769,24,24,280.2305507659912,4,0,17,17.564826865571522,130.0,175.64826865571524
51,101,268.184,24,24,284.82305335998535,2,0,6,13.92314784964586,140.0,139.23147849645858
52,102,289.989,24,24,268.9879684448242,4,0,4,18.373430744376076,160.0,183.73430744376074
53,103,403.55,24,24,262.39105463027954,7,0,42,17.02981011659006,140.0,170.29810116590062
54,104,330.346,24,24,260.8751583099365,8,0,11,27.082788960249342,140.0,270.8278896024934
55,105,258.218,24,24,302.5543098449707,2,0,8,8.152305009309156,100.0,81.52305009309156
56,106,290.642,24,24,264.00823879241943,10,0,23,23.30585922167366,120.0,233.0585922167366
57,107,277.846,24,24,250.37296295166016,12,0,7,15.423463168851049,150.0,154.2346316885105
58,108,351.294,24,24,275.3487482070923,4,0,16,27.17082718623367,130.0,271.7082718623367
59,109,336.671,24,24,257.99741649627686,9,0,17,21.675251409798214,140.0,216.75251409798213
60,110,253.825,24,24,278.7608814239502,8,0,3,14.130392101886358,110.0,141.30392101886358
61,101,288.739,24,24,254.25743293762207,7,0,4,25.808553895696146,170.0,258.08553895696144
62,102,413.953,24,24,247.70815992355347,3,0,28,40.972765297471646,190.0,409.7276529747165
63,103,377.843,24,24,247.8093032836914,4,0,22,27.302302612038,200.0,273.02302612038005
64,104,404.713,24,24,286.4483947753906,3,0,24,21.838666665757923,110.0,218.38666665757924
65,105,267.841,24,24,257.27206802368164,10,0,4,12.426437100541357,150.0,124.26437100541357
66,106,388.136,24,24,237.2537157535553,5,0,21,34.15428734225264,210.0,341.5428734225264
67,107,334.717,24,24,241.77623224258423,10,0,14,12.412555324161863,180.0,124.12555324161863
68,108,410.477,24,24,247.17313528060913,7,0,32,27.75619147207734,170.0,277.56191472077336
69,109,268.444,24,24,256.3486452102661,8,0,3,23.837845291039073,160.0,238.3784529103907
70,110,297.073,24,24,267.87399768829346,4,0,8,23.753317292332884,160.0,237.53317292332886
71,101,304.581,24,24,263.02094745635986,7,0,6,21.596842151017555,150.0,215.96842151017555
72,102,363.788,24,24,264.0787525177002,5,0,14,29.73745799891641,150.0,297.3745799891641
73,103,376.179,24,24,250.44075441360474,12,0,19,30.19748147159713,130.0,301.97481471597126
74,104,381.149,24,24,260.2574577331543,7,0,18,20.808457844829793,150.0,208.08457844829795
75,105,401.846,24,24,276.348295211792,3,0,29,15.505659561711907,140.0,155.0565956171191
76,106,295.777,24,24,271.22699451446533,7,0,7,20.90999299095319,130.0,209.09992990953188
77,107,342.944,24,24,269.27146339416504,6,0,20,14.095082880255942,140.0,140.9508288025594
78,108,323.626,24,24,285.5724081993103,1,0,14,14.758626802920645,140.0,147.58626802920645
79,109,291.588,24,24,260.206636428833,11,0,10,17.64454177072861,130.0,176.4454177072861
80,110,263.378,24,24,271.6923122406006,9,0,6,14.358922600987931,120.0,143.58922600987933
81,101,270.496,24,24,285.1359353065491,3,0,5,14.546878039880541,130.0,145.46878039880542
82,102,300.7,24,24,267.84154987335205,8,0,7,17.19482258629261,130.0,171.94822586292608
83,103,328.601,24,24,231.1743984222412,16,0,10,19.418653979849594,160.0,194.18653979849594
84,104,337.626,24,24,241.31186485290527,14,0,14,27.29378286053208,140.0,272.9378286053208
85,105,304.269,24,24,295.9678931236267,3,0,17,8.440351770416463,100.0,84.40351770416463
86,106,361.115,24,24,264.63272857666016,7,0,26,27.890905955789766,130.0,278.90905955789765
87,107,304.92,24,24,253.1121392250061,11,0,9,17.959520814404613,140.0,179.59520814404613
88,108,375.887,24,24,268.90276432037354,3,0,19,26.990782110256212,150.0,269.90782110256214
89,109,274.501,24,24,273.1832318305969,8,0,4,17.72255780593211,120.0,177.2255780593211
90,110,298.388,24,24,286.07460498809814,5,0,13,13.084648519217021,110.0,130.8464851921702
91,101,298.33,24,24,283.39229679107666,4,0,8,23.692344261937112,120.0,236.92344261937112
92,102,303.463,24,24,279.59279918670654,7,0,13,14.690660908032457,110.0,146.90660908032456
93,103,393.794,24,24,270.3658924102783,7,0,40,17.1136802234078,120.0,171.136802234078
94,104,323.652,24,24,297.49651432037354,2,0,11,18.34495273153881,100.0,183.4495273153881
95,105,268.698,24,24,296.4444990158081,3,0,12,8.518313499574623,100.0,85.18313499574623
96,106,294.915,24,24,250.50211334228516,13,0,6,29.992928957829886,130.0,299.92928957829884
97,107,316.02,24,24,269.23792338371277,10,0,19,14.206909712083972,110.0,142.0690971208397
98,108,353.599,24,24,260.5123682022095,10,0,25,16.625432556213312,130.0,166.25432556213312
99,109,452.524,24,24,260.02639722824097,7,0,52,19.91201210707529,140.0,199.12012107075293
100,110,243.823,24,24,292.1894245147705,5,0,2,14.368568073254412,100.0,143.6856807325441
101,101,333.298,24,24,281.0598394870758,4,0,17,21.467208919869567,120.0,214.67208919869566
102,102,293.241,24,24,303.59491634368896,2,0,12,11.350242341963963,90.0,113.50242341963963
103,103,371.587,24,24,285.2720994949341,5,0,22,19.092995396688693,100.0,190.92995396688693
104,104,352.617,24,24,277.05618810653687,7,0,15,18.146006404693594,110.0,181.4600640469359
105,105,268.351,24,24,305.06080436706543,1,0,4,8.130621874637484,100.0,81.30621874637484
106,106,288.981,24,24,276.88150787353516,3,0,5,30.3949210561233,140.0,303.94921056123303
107,107,452.956,24,24,257.0422239303589,8,0,25,24.859232992608522,140.0,248.59232992608523
