level,ep,seed,makespan,done,total,reward,soft,hardExecuted,hardMask,travel,setup,move
L1_2C12L,1,101,223.386,12,12,164.6641322374344,3,0,0,26.11954416471113,110.0,261.19544164711124
L1_2C12L,2,102,235.747,12,12,179.35447931289673,4,0,5,15.485064817319465,70.0,154.85064817319466
L1_2C12L,3,103,367.306,12,12,171.78614473342896,0,0,12,20.712865300056503,110.0,207.128653000565
L1_2C12L,4,104,217.819,12,12,178.34518909454346,3,0,4,15.516032257779962,80.0,155.1603225777996
L1_2C12L,5,105,296.221,12,12,182.54583072662354,3,0,15,11.513897472973959,70.0,115.13897472973957
L1_2C12L,6,106,217.468,12,12,189.31132698059082,0,0,3,12.2955595945706,80.0,122.955595945706
L1_2C12L,7,107,197.297,12,12,175.30575823783875,6,0,2,13.980805487761936,70.0,139.80805487761936
L1_2C12L,8,108,227.888,12,12,187.4316906929016,1,0,4,8.561021092507254,80.0,85.61021092507254
L1_2C12L,9,109,207.941,12,12,188.19811820983887,0,0,0,17.67294222870075,80.0,176.7294222870075
L1_2C12L,10,110,235.143,12,12,180.5227198600769,1,0,2,18.257589237853395,90.0,182.57589237853392
L1_2C12L,11,101,224.506,12,12,184.77454376220703,1,0,2,17.418186399647226,80.0,174.18186399647223
L1_2C12L,12,102,205.58,12,12,183.4182014465332,0,0,0,8.605976001483215,100.0,86.05976001483214
L1_2C12L,13,103,195.844,12,12,185.05506706237793,2,0,1,8.149793113910903,80.0,81.49793113910904
L1_2C12L,14,104,225.305,12,12,187.84631633758545,3,0,5,10.512282217182388,60.0,105.12282217182388
L1_2C12L,15,105,219.552,12,12,185.41615629196167,3,0,2,8.612812116536986,70.0,86.12812116536986
L1_2C12L,16,106,214.842,12,12,186.18470239639282,2,0,2,16.050992132123355,70.0,160.50992132123355
L1_2C12L,17,107,185.82,12,12,195.38225078582764,2,0,3,12.059163590976409,50.0,120.5916359097641
L1_2C12L,18,108,253.904,12,12,180.08382320404053,3,0,9,9.720609010712046,80.0,97.20609010712046
L1_2C12L,19,109,211.277,12,12,171.64686679840088,4,0,1,21.177121809891577,90.0,211.7712180989158
L1_2C12L,20,110,210.468,12,12,193.8588843345642,0,0,3,10.47038723271682,70.0,104.70387232716821
L1_2C12L,21,101,223.69,12,12,192.5309009552002,0,0,4,14.89699425647441,70.0,148.9699425647441
L1_2C12L,22,102,229.01,12,12,182.5220308303833,1,0,2,11.593230133261509,90.0,115.93230133261511
L1_2C12L,23,103,238.296,12,12,182.99266529083252,3,0,2,16.691121000799303,70.0,166.91121000799302
L1_2C12L,24,104,238.852,12,12,191.7772216796875,0,0,6,14.075930290313643,70.0,140.75930290313644
L1_2C12L,25,105,313.314,12,12,178.41810512542725,2,0,9,8.60630636837578,90.0,86.06306368375779
L1_2C12L,26,106,197.283,12,12,198.25552940368652,0,0,1,10.814899095253255,60.0,108.14899095253256
L1_2C12L,27,107,219.909,12,12,182.44144248962402,3,0,4,15.195190170706297,70.0,151.95190170706294
L1_2C12L,28,108,257.485,12,12,189.08111715316772,1,0,6,13.062936554268072,70.0,130.62936554268074
L1_2C12L,29,109,216.657,12,12,186.32853412628174,0,0,2,10.571561802457927,90.0,105.71561802457927
L1_2C12L,30,110,220.687,12,12,189.7931056022644,0,0,3,10.689647893506477,80.0,106.89647893506475
L1_2C12L,31,101,224.964,12,12,188.21734189987183,1,0,2,19.275538197343064,70.0,192.75538197343064
L1_2C12L,32,102,207.767,12,12,195.20563459396362,1,0,5,9.314547385255905,60.0,93.14547385255905
L1_2C12L,33,103,242.315,12,12,172.7566623687744,4,0,3,14.144445694155511,90.0,141.44445694155513
L1_2C12L,34,104,209.131,12,12,190.459885597229,2,0,2,15.133723760873721,60.0,151.3372376087372
L1_2C12L,35,105,249.832,12,12,180.82550382614136,2,0,4,17.248329974491917,80.0,172.48329974491918
L1_2C12L,36,106,207.363,12,12,193.24249076843262,0,0,2,14.19170953925091,70.0,141.91709539250908
L1_2C12L,37,107,247.084,12,12,190.53793120384216,2,0,5,11.540229405760025,60.0,115.40229405760024
L1_2C12L,38,108,207.477,12,12,172.3688039779663,6,0,3,8.770649153434164,80.0,87.70649153434167
L1_2C12L,39,109,222.378,12,12,185.94818353652954,1,0,1,13.506053803464459,80.0,135.06053803464457
L1_2C12L,40,110,212.217,12,12,186.9183807373047,2,0,3,13.60539681384027,70.0,136.0539681384027
L1_2C12L,41,101,212.67,12,12,194.13210487365723,1,0,1,12.892987291041411,60.0,128.92987291041413
L1_2C12L,42,102,217.809,12,12,187.70308256149292,1,0,4,7.656389677116422,80.0,76.56389677116422
L1_2C12L,43,103,229.201,12,12,173.98918342590332,4,0,3,10.036050034055641,90.0,100.36050034055641
L1_2C12L,44,104,289.754,12,12,192.46358060836792,0,0,10,21.78805506554819,60.0,217.8805506554819
L1_2C12L,45,105,196.145,12,12,184.6901330947876,2,0,1,9.366220529739437,80.0,93.66220529739438
L1_2C12L,46,106,207.424,12,12,190.93221473693848,1,0,1,11.892609029190067,70.0,118.92609029190066
L1_2C12L,47,107,215.713,12,12,204.1746425628662,0,0,5,12.75118737929325,40.0,127.51187379293253
L1_2C12L,48,108,219.075,12,12,171.51744079589844,6,0,2,11.608539948466541,80.0,116.0853994846654
L1_2C12L,49,109,211.69,12,12,186.65918445587158,2,0,0,16.13604622104327,70.0,161.36046221043273
L1_2C12L,50,110,210.817,12,12,193.50831604003906,0,0,5,11.638944797275888,70.0,116.38944797275889
L1_2C12L,51,101,212.684,12,12,198.15123414993286,1,0,2,12.829215837022467,50.0,128.29215837022468
L1_2C12L,52,102,212.476,12,12,193.87599420547485,1,0,2,13.746686664250726,60.0,137.46686664250726
L1_2C12L,53,103,247.481,12,12,182.23717880249023,2,0,2,15.876070649937871,80.0,158.76070649937873
L1_2C12L,54,104,200.161,12,12,185.7631540298462,4,0,1,12.456150143283146,60.0,124.56150143283146
L1_2C12L,55,105,198.344,12,12,185.020122051239,3,0,0,11.599595052828725,70.0,115.99595052828727
L1_2C12L,56,106,189.856,12,12,183.69415974617004,4,0,1,17.686124936919672,60.0,176.86124936919674
L1_2C12L,57,107,215.713,12,12,204.17464208602905,0,0,3,12.75118737929325,40.0,127.51187379293253
