level,ep,seed,makespan,done,total,reward,soft,hardExecuted,hardMask,travel,setup,move
L1_2C12L,1,101,224.113,12,12,177.51021718978882,2,0,3,18.29926968808101,90.0,182.99269688081012
L1_2C12L,2,102,197.253,12,12,195.4993395805359,1,0,2,10.002206021115583,60.0,100.02206021115583
L1_2C12L,3,103,218.351,12,12,183.94568157196045,3,0,5,10.18106121852718,70.0,101.81061218527181
L1_2C12L,4,104,203.47,12,12,182.92256927490234,2,0,3,15.258104852609717,80.0,152.5810485260972
L1_2C12L,5,105,218.513,12,12,178.72888016700745,5,0,2,10.903733159308647,70.0,109.03733159308648
L1_2C12L,6,106,216.987,12,12,186.45581912994385,1,0,2,11.813937109533821,80.0,118.1393710953382
L1_2C12L,7,107,218.949,12,12,180.03890371322632,3,0,2,13.203669745397336,80.0,132.0366974539734
L1_2C12L,8,108,207.134,12,12,188.50014472007751,2,0,3,8.332848896943908,70.0,83.32848896943909
L1_2C12L,9,109,198.77,12,12,187.0230016708374,1,0,0,13.256665419636562,80.0,132.56665419636562
L1_2C12L,10,110,211.847,12,12,193.9049015045166,1,0,3,13.65033617454462,60.0,136.50336174544617
L1_2C12L,11,101,242.926,12,12,178.8833727836609,2,0,3,13.722088672120972,90.0,137.22088672120972
L1_2C12L,12,102,209.277,12,12,181.29893112182617,3,0,0,12.336885986123086,80.0,123.36885986123085
L1_2C12L,13,103,228.594,12,12,183.02641487121582,1,0,2,9.911947146147602,90.0,99.119471461476
L1_2C12L,14,104,213.386,12,12,182.64908599853516,2,0,4,16.169713086793454,80.0,161.69713086793453
L1_2C12L,15,105,199.475,12,12,177.28760838508606,4,0,0,14.041304743497701,80.0,140.41304743497702
L1_2C12L,16,106,207.044,12,12,192.53234958648682,0,0,4,11.558833577168274,70.0,115.58833577168274
L1_2C12L,17,107,234.411,12,12,176.22614336013794,4,0,3,15.912836610122758,80.0,159.12836610122756
L1_2C12L,18,108,221.929,12,12,189.9849076271057,1,0,2,13.38363646930444,70.0,133.8363646930444
L1_2C12L,19,109,209.493,12,12,180.71924877166748,1,0,0,20.935851912722047,90.0,209.35851912722043
L1_2C12L,20,110,209.929,12,12,184.78618621826172,0,0,0,17.379388123820334,90.0,173.79388123820334
L1_2C12L,21,101,232.85,12,12,169.3002508878708,5,0,2,15.665826827573467,90.0,156.65826827573466
L1_2C12L,22,102,207.798,12,12,198.81776237487793,0,0,3,7.274113452576032,60.0,72.74113452576032
L1_2C12L,23,103,192.761,12,12,194.90865993499756,0,0,2,8.637802053657069,70.0,86.37802053657066
L1_2C12L,24,104,295.784,12,12,189.65470457077026,0,0,8,17.81764584395296,70.0,178.1764584395296
L1_2C12L,25,105,275.543,12,12,170.1315999031067,5,0,7,9.56132578578032,90.0,95.6132578578032
L1_2C12L,26,106,200.388,12,12,198.02074909210205,0,0,1,11.59749867507732,60.0,115.97498675077321
L1_2C12L,27,107,256.064,12,12,186.94368314743042,2,0,6,10.187704520556702,70.0,101.87704520556701
L1_2C12L,28,108,255.873,12,12,182.64471983909607,2,0,3,11.18427482315245,80.0,111.8427482315245
L1_2C12L,29,109,207.833,12,12,193.83938598632812,0,0,2,10.535383418016657,70.0,105.35383418016656
L1_2C12L,30,110,210.285,12,12,198.3529052734375,0,0,5,8.823646939896655,60.0,88.23646939896655
L1_2C12L,31,101,234.243,12,12,190.04999160766602,1,0,3,13.166686727343576,70.0,131.66686727343574
L1_2C12L,32,102,207.886,12,12,193.78970527648926,0,0,2,7.367632446714477,70.0,73.67632446714477
L1_2C12L,33,103,309.692,12,12,179.71792650222778,2,0,10,17.606911348262134,80.0,176.06911348262136
L1_2C12L,34,104,238.534,12,12,190.87276935577393,0,0,5,13.757438138925993,70.0,137.57438138925994
L1_2C12L,35,105,232.745,12,12,186.4121494293213,1,0,2,11.959497022773526,80.0,119.59497022773526
L1_2C12L,36,106,196.468,12,12,195.53661727905273,1,0,1,9.877941846969717,60.0,98.77941846969716
L1_2C12L,37,107,195.885,12,12,192.3976092338562,2,0,2,10.341283102315055,60.0,103.41283102315055
L1_2C12L,38,108,219.075,12,12,173.6625633239746,4,0,0,12.791435366956932,90.0,127.9143536695693
L1_2C12L,39,109,198.525,12,12,183.57439613342285,2,0,1,14.752006925519087,80.0,147.52006925519086
L1_2C12L,40,110,225.926,12,12,188.2231388092041,1,0,4,19.25620212645249,70.0,192.56202126452487
L1_2C12L,41,101,207.671,12,12,185.75893783569336,1,0,1,15.803561098347233,80.0,158.03561098347234
L1_2C12L,42,102,197.867,12,12,199.79719829559326,1,0,1,7.342665435260428,50.0,73.42665435260427
L1_2C12L,43,103,238.071,12,12,186.29327583312988,0,0,3,9.022403861884213,90.0,90.22403861884214
L1_2C12L,44,104,216.728,12,12,197.4146375656128,1,0,5,11.951200236616513,50.0,119.51200236616512
L1_2C12L,45,105,236.121,12,12,174.0088233947754,5,0,4,13.303934869841477,80.0,133.03934869841478
L1_2C12L,46,106,209.968,12,12,186.14263486862183,1,0,1,11.191203503801447,80.0,111.91203503801448
L1_2C12L,47,107,208.681,12,12,198.1349802017212,1,0,2,12.88339994117203,50.0,128.8339994117203
L1_2C12L,48,108,218.645,12,12,190.96998357772827,1,0,3,10.100057971657376,70.0,101.00057971657378
L1_2C12L,49,109,225.196,12,12,187.82564306259155,0,0,1,17.24785225493054,80.0,172.47852254930538
L1_2C12L,50,110,243.349,12,12,177.4755401611328,1,0,4,15.081538036232164,100.0,150.81538036232163
L1_2C12L,51,101,226.061,12,12,189.07960033416748,1,0,3,16.401351398876628,70.0,164.01351398876625
L1_2C12L,52,102,207.706,12,12,191.4587574005127,1,0,3,8.470806822826711,70.0,84.70806822826711
L1_2C12L,53,103,266.452,12,12,169.49354696273804,6,0,11,11.68818028337226,80.0,116.8818028337226
L1_2C12L,54,104,227.176,12,12,179.9583044052124,1,0,1,20.13898990999216,90.0,201.3898990999216
L1_2C12L,55,105,199.5,12,12,177.28032970428467,4,0,0,14.065552208385466,80.0,140.65552208385466
L1_2C12L,56,106,206.596,12,12,195.06710958480835,1,0,2,9.776301963803467,60.0,97.76301963803465
L1_2C12L,57,107,229.993,12,12,183.05205368995667,2,0,5,9.826489422273497,80.0,98.26489422273495
L1_2C12L,58,108,233.451,12,12,181.1687433719635,4,0,3,9.437521194795513,70.0,94.37521194795512
L1_2C12L,59,109,212.451,12,12,189.11563396453857,0,0,1,16.28122781757847,80.0,162.81227817578466
L1_2C12L,60,110,220.147,12,12,183.6783628463745,2,0,4,11.072120729635552,80.0,110.72120729635553
