ep,seed,makespan,done,total,reward,soft,hardExecuted,hardMask,travel,setup,move
1,101,279.421,24,24,276.7595739364624,6,0,6,12.46806436858285,130.0,124.68064368582851
2,102,319.599,24,24,251.4172239303589,11,0,11,30.275913321058514,140.0,302.75913321058516
3,103,325.1,24,24,245.44928169250488,4,0,7,38.502400322105935,200.0,385.02400322105944
4,104,368.559,24,24,269.95617723464966,9,0,12,21.81271168691441,110.0,218.12711686914412
5,105,315.515,24,24,255.17491102218628,10,0,8,12.750274365470487,150.0,127.50274365470484
6,106,367.051,24,24,243.00872373580933,10,0,17,34.97089975746847,160.0,349.7089975746848
7,107,474.36,24,24,256.41757011413574,7,0,48,18.608100776894258,150.0,186.08100776894258
8,108,327.571,24,24,262.1939730644226,6,0,11,16.020045925456458,160.0,160.20045925456458
9,109,273.204,24,24,268.24632453918457,8,0,5,22.512252838601515,130.0,225.12252838601512
10,110,328.169,24,24,267.8488827943802,6,0,14,18.837034299091094,140.0,188.37034299091093
11,101,268.477,24,24,288.54923820495605,3,0,7,18.16919090267404,120.0,181.69190902674038
12,102,296.742,24,24,237.59449005126953,12,0,7,31.351658453260946,170.0,313.5165845326094
13,103,335.11,24,24,246.42640256881714,8,0,8,35.24533163447958,170.0,352.45331634479567
14,104,394.137,24,24,258.8851671218872,8,0,18,28.716113867486154,140.0,287.16113867486155
15,105,338.727,24,24,269.2239394187927,5,0,18,10.92020288358544,150.0,109.20202883585439
16,106,407.236,24,24,258.740864276886,7,0,16,20.86375700293897,150.0,208.6375700293897
17,107,371.997,24,24,242.06481075286865,11,0,26,14.783969948551823,170.0,147.83969948551822
18,108,382.134,24,24,271.24161195755005,4,0,11,27.52795225574191,140.0,275.2795225574191
19,109,314.848,24,24,242.3332760334015,13,0,12,22.222416990313516,150.0,222.22416990313516
20,110,342.873,24,24,271.34014415740967,4,0,14,18.86617915451794,150.0,188.66179154517937
21,101,319.123,24,24,274.87359046936035,4,0,18,22.088023283935577,140.0,220.88023283935576
22,102,306.259,24,24,235.77893543243408,11,0,7,29.07021203361555,180.0,290.70212033615553
23,103,456.863,24,24,263.85954570770264,3,0,29,25.468149342836654,160.0,254.6814934283665
