engine,split,policy,makespan,makespanSd,completeRate,soft,hardExecuted,hardMask,travel,setup,move
browser-light,seen,RL-before,357.2,36.46313206514218,100,3,0,10.9,21.913338439237926,140,219.13338439237924
browser-light,seen,MAPPO-trained,277.4,25.06870559083576,100,3.3,0,2.3,16.167736738764578,102,161.6773673876458
browser-light,seen,Nearest,326.8,27.370787347096908,100,7,0,6.7,17.02223177136507,150,170.2223177136507
browser-light,seen,Same-radius,329.9,32.191458494451595,100,6.9,0,6.9,16.58543785142507,150,165.85437851425073
browser-light,seen,Random,429.6,59.351832322178566,100,6.5,0,19.9,37.54641727366199,184,375.46417273661984
browser-light,unseen,RL-before,351.53333333333336,53.0915770678886,100,3.066666666666667,0,11.566666666666666,16.93866277943636,128.33333333333334,169.3866277943636
browser-light,unseen,MAPPO-trained,297.3333333333333,35.45920974240057,100,2.066666666666667,0,3.6333333333333333,15.642409580009241,108.66666666666667,156.42409580009243
browser-light,unseen,Nearest,356.43333333333334,72.1547796214653,100,7.6,0,9.233333333333333,15.589269701626812,144.66666666666666,155.89269701626816
browser-light,unseen,Same-radius,355.23333333333335,72.2166570505417,100,7.2,0,8.9,15.285599044319042,145,152.85599044319045
browser-light,unseen,Random,461.1,76.29213589879366,100,5.766666666666667,0,22.033333333333335,35.098271450818785,173.66666666666666,350.98271450818794
pytorch-repeated-aggregate,seen,PyTorch MAPPO,305.73993333333334,0,0,0,0,0,0,0,0
pytorch-repeated-aggregate,unseen,PyTorch MAPPO,332.4567,7.038931107459128,100.0,0,0.0,16.88888888888889,0,0,0
pytorch-run,seen,group1_train101-110_unseen201-230,312.62440000000004,53.08302755156303,100.0,5.4,0.0,11.1,0,0,0
pytorch-run,unseen,group1_train101-110_unseen201-230,341.85376666666673,60.53503581876276,100.0,5.866666666666666,0.0,16.866666666666667,15.595131530393907,111.33333333333333,155.951315303939
pytorch-run,seen,group2_train111-120_unseen231-260,325.5968,52.07475628709174,100.0,5.6,0.0,15.8,0,0,0
pytorch-run,unseen,group2_train111-120_unseen231-260,324.9136666666667,55.450572268963604,100.0,6.933333333333334,0.0,16.8,18.073800853874094,103.33333333333333,180.73800853874093
pytorch-run,seen,group3_train121-130_unseen261-290,278.9986,25.130325521966487,100.0,5.9,0.0,9.2,0,0,0
pytorch-run,unseen,group3_train121-130_unseen261-290,330.60266666666666,54.09767802246436,100.0,4.533333333333333,0.0,17.0,16.04527156341435,111.33333333333333,160.45271563414357
