ep,seed,makespan,done,total,reward,soft,hardExecuted,hardMask,travel,setup,move
1,101,309.429,24,24,288.71267461776733,5,0,13,17.624425128895485,100.0,176.24425128895487
2,102,284.819,24,24,266.03297424316406,9,0,12,18.223418148637784,130.0,182.23418148637785
3,103,402.625,24,24,252.89197826385498,7,0,16,27.026719824593336,160.0,270.2671982459334
4,104,345.355,24,24,295.3785591125488,5,0,18,17.071463999573524,80.0,170.71463999573524
5,105,297.963,24,24,280.84101390838623,8,0,16,13.863283206685939,100.0,138.6328320668594
6,106,319.92,24,24,262.2534055709839,6,0,8,29.15529853555714,150.0,291.5529853555714
7,107,293.541,24,24,254.60452127456665,10,0,11,16.318239761533206,150.0,163.18239761533206
8,108,272.669,24,24,270.520263671875,7,0,2,26.59909706049233,130.0,265.9909706049233
9,109,345.168,24,24,249.6103343963623,13,0,13,22.96551768910544,130.0,229.65517689105442
10,110,404.652,24,24,279.93357944488525,3,0,33,11.888069183530401,130.0,118.880691835304
11,101,264.499,24,24,280.96889877319336,2,0,2,13.436981096661356,150.0,134.36981096661356
12,102,273.096,24,24,275.2289686203003,9,0,9,24.23677295513162,100.0,242.3677295513162
13,103,322.678,24,24,259.6049690246582,6,0,12,32.98341822472148,150.0,329.83418224721476
14,104,503.124,24,24,279.9525623321533,2,0,48,25.158118946734874,120.0,251.58118946734868
15,105,270.796,24,24,263.30955147743225,10,0,7,13.968168172056293,130.0,139.6816817205629
16,106,283.762,24,24,272.9217653274536,6,0,11,21.927442467762994,130.0,219.27442467762998
17,107,326.074,24,24,239.16448545455933,14,0,9,12.785050426477907,160.0,127.8505042647791
18,108,294.497,24,24,256.170108795166,11,0,5,22.76628345148336,140.0,227.6628345148336
19,109,370.533,24,24,274.05493545532227,2,0,25,21.48355016870038,150.0,214.83550168700384
20,110,324.332,24,24,276.5620975494385,4,0,10,14.792983414842526,140.0,147.92983414842527
21,101,268.717,24,24,280.55836486816406,3,0,5,19.80541266209352,140.0,198.05412662093522
22,102,270.859,24,24,276.26407051086426,7,0,6,19.11975930452692,120.0,191.19759304526917
23,103,341.114,24,24,245.168692111969,9,0,17,37.77102675340685,160.0,377.7102675340685
24,104,309.623,24,24,254.71748542785645,12,0,12,20.941713202777883,130.0,209.41713202777882
25,105,304.986,24,24,268.04323863983154,6,0,6,14.855860550394151,150.0,148.5586055039415
26,106,326.374,24,24,269.2415678501129,8,0,19,20.86141856865387,120.0,208.61418568653872
27,107,290.163,24,24,260.60871505737305,12,0,13,16.304274100163653,120.0,163.04274100163656
28,108,376.294,24,24,262.5183277130127,5,0,16,19.9388883455583,160.0,199.38888345558294
29,109,316.085,24,24,265.5647974014282,5,0,5,33.11732304503899,150.0,331.1732304503899
30,110,288.585,24,24,283.6283845901489,5,0,7,12.905375443582388,120.0,129.05375443582386
31,101,277.369,24,24,261.25302600860596,9,0,2,20.823235381867043,140.0,208.23235381867042
32,102,339.984,24,24,257.5383577346802,8,0,15,24.872147985139733,150.0,248.72147985139736
33,103,301.25,24,24,268.8245310783386,5,0,5,22.251557307524077,150.0,222.51557307524084
34,104,304.354,24,24,277.24140644073486,6,0,5,19.195289678977883,120.0,191.9528967897789
35,105,297.986,24,24,265.33208656311035,6,0,12,10.559716773651639,160.0,105.59716773651638
36,106,283.808,24,24,296.8770546913147,2,0,14,20.40982413083911,100.0,204.0982413083911
37,107,269.005,24,24,275.00914478302,8,0,6,11.636179134881838,120.0,116.36179134881839
38,108,373.319,24,24,264.7749710083008,3,0,18,19.083420242915494,170.0,190.8342024291549
39,109,321.256,24,24,238.4065556526184,11,0,12,31.978105952092637,170.0,319.7810595209264
40,110,331.117,24,24,280.23579359054565,4,0,15,10.880697714696026,130.0,108.80697714696026
41,101,322.232,24,24,256.4830904006958,9,0,13,31.723006299095513,140.0,317.2300629909551
42,102,321.044,24,24,269.8661060333252,8,0,13,23.779654106281477,120.0,237.79654106281475
43,103,455.463,24,24,272.5905079841614,2,0,31,28.03163760028234,140.0,280.3163760028234
44,104,331.261,24,24,274.60704040527344,11,0,12,17.976537908699814,90.0,179.7653790869981
45,105,296.239,24,24,293.3171498775482,4,0,11,12.276143003057737,100.0,122.76143003057736
46,106,315.503,24,24,271.60015296936035,6,0,19,19.666123648997768,130.0,196.66123648997768
47,107,365.49,24,24,277.78725576400757,7,0,39,10.709127205855484,110.0,107.09127205855485
48,108,308.273,24,24,257.36089038848877,8,0,7,27.1303383155764,150.0,271.303383155764
