ep,seed,makespan,done,total,reward,soft,hardExecuted,hardMask,travel,setup,move
1,101,294.128,24,24,287.5196843147278,7,0,14,9.9343763920737,90.0,99.34376392073703
2,102,280.509,24,24,258.8921728134155,11,0,7,18.692717214373232,130.0,186.92717214373224
3,103,347.047,24,24,258.7535080909729,5,0,12,24.15497238292219,170.0,241.5497238292219
4,104,376.012,24,24,259.1727545261383,9,0,40,21.09081118645583,130.0,210.90811186455832
5,105,305.892,24,24,295.2802381515503,2,0,14,14.065879176506963,110.0,140.65879176506962
6,106,289.601,24,24,281.10003662109375,4,0,7,27.999877216881575,120.0,279.99877216881566
7,107,423.62,24,24,273.3042206764221,5,0,45,13.985925332522472,130.0,139.8592533252247
8,108,329.554,24,24,270.5406060218811,6,0,27,18.197969904307996,130.0,181.97969904307996
9,109,389.455,24,24,273.45712995529175,5,0,18,18.476236062217993,130.0,184.76236062217998
10,110,335.884,24,24,253.76387214660645,11,0,21,15.787094596682197,140.0,157.87094596682192
11,101,306.53,24,24,276.2096447944641,4,0,12,15.967803652106205,140.0,159.67803652106204
12,102,274.176,24,24,248.80111527442932,15,0,9,25.662955553807432,120.0,256.6295555380743
13,103,306.027,24,24,267.07558155059814,5,0,9,33.08136091218891,140.0,330.81360912188916
14,104,355.466,24,24,267.81105184555054,8,0,17,25.62983230628849,120.0,256.29832306288495
15,105,304.065,24,24,269.77444553375244,6,0,14,12.41850442859386,140.0,124.18504428593859
16,106,411.604,24,24,281.23883962631226,1,0,25,22.537206102369513,130.0,225.37206102369515
17,107,279.844,24,24,250.50997972488403,12,0,5,14.96670573351138,150.0,149.6670573351138
18,108,286.088,24,24,261.85002517700195,11,0,4,25.499874020417476,120.0,254.99874020417474
19,109,317.089,24,24,279.8372526168823,2,0,19,18.875810270753608,140.0,188.7581027075361
20,110,289.795,24,24,254.74375009536743,14,0,9,14.187472943461445,120.0,141.87472943461447
21,101,269.379,24,24,272.65140771865845,7,0,6,17.828634297760434,130.0,178.28634297760433
22,102,260.504,24,24,263.35410809516907,10,0,1,20.486305793862343,130.0,204.86305793862346
23,103,321.384,24,24,252.65933895111084,12,0,9,27.802154616287055,130.0,278.02154616287055
24,104,266.37,24,24,292.79226875305176,3,0,4,17.359094006089105,110.0,173.59094006089106
25,105,302.952,24,24,275.8838195800781,6,0,10,10.387264063396946,130.0,103.87264063396948
26,106,283.162,24,24,256.65547466278076,10,0,6,27.815076134981304,140.0,278.1507613498131
27,107,324.538,24,24,267.57415103912354,7,0,9,14.752832721681667,140.0,147.5283272168167
28,108,347.108,24,24,264.01562881469727,8,0,15,24.947857449463765,130.0,249.47857449463766
29,109,325.756,24,24,275.0619492530823,6,0,10,23.126845191453988,120.0,231.26845191453984
30,110,353.497,24,24,284.0532908439636,1,0,21,14.822352292609466,140.0,148.2235229260947
31,101,331.586,24,24,276.49062728881836,3,0,10,25.031198248334547,140.0,250.31198248334547
32,102,320.177,24,24,281.28728008270264,4,0,8,20.70906259272936,120.0,207.09062592729362
33,103,411.471,24,24,257.5280647277832,5,0,19,31.573123403096353,160.0,315.73123403096355
34,104,330.314,24,24,300.14735746383667,2,0,16,17.842134012107973,90.0,178.42134012107974
35,105,328.89,24,24,263.6225266456604,7,0,10,14.591550774563464,150.0,145.9155077456346
36,106,284.372,24,24,273.69040966033936,4,0,11,24.36530634896026,140.0,243.65306348960263
37,107,392.985,24,24,272.58993101119995,5,0,24,21.366858887095642,130.0,213.6685888709564
38,108,359.51,24,24,260.1263966560364,5,0,12,32.91200456114407,160.0,329.1200456114408
39,109,263.376,24,24,282.6505365371704,5,0,5,17.83154611251332,120.0,178.31546112513325
40,110,274.531,24,24,265.9037895202637,7,0,9,25.32067820848812,140.0,253.2067820848812
41,101,305.698,24,24,237.29688215255737,10,0,4,24.010342376006854,190.0,240.10342376006852
42,102,271.21,24,24,253.02211570739746,9,0,6,21.592934471316894,160.0,215.92934471316894
43,103,380.519,24,24,253.03700494766235,8,0,24,29.87663646986211,150.0,298.76636469862115
44,104,351.675,24,24,267.46848011016846,10,0,20,15.105034557566873,110.0,151.05034557566873
45,105,290.374,24,24,276.04529070854187,5,0,9,16.515700233332428,130.0,165.15700233332427
46,106,383.133,24,24,262.89816427230835,7,0,28,33.67275988145375,130.0,336.72759881453754
47,107,299.8,24,24,252.1445894241333,12,0,12,16.18470975324945,140.0,161.84709753249444
48,108,400.915,24,24,267.3437428474426,2,0,12,33.854174659291665,160.0,338.54174659291664
49,109,266.752,24,24,246.2329444885254,13,0,5,20.890185679658426,150.0,208.90185679658424
50,110,274.175,24,24,269.3424789905548,8,0,2,18.858400836266124,130.0,188.58400836266128
51,101,259.52,24,24,300.2575273513794,1,0,2,14.141579457641171,110.0,141.41579457641174
52,102,499.248,24,24,259.2100520133972,1,0,33,42.633138961546706,170.0,426.3313896154671
53,103,299.648,24,24,264.97252225875854,7,0,12,20.091595681389293,140.0,200.91595681389293
54,104,346.502,24,24,263.64296674728394,11,0,10,27.856774576261262,110.0,278.5677457626127
55,105,296.157,24,24,295.06099367141724,2,0,10,13.12997972759101,110.0,131.2997972759101
56,106,273.605,24,24,262.4350485801697,6,0,5,21.883147944576624,160.0,218.8314794457662
57,107,478.007,24,24,261.199933052063,6,0,20,26.000207251645605,140.0,260.00207251645605
58,108,276.901,24,24,267.8011083602905,8,0,9,18.996276686346363,130.0,189.96276686346363
59,109,469.266,24,24,274.330602645874,3,0,28,25.564659496129277,130.0,255.64659496129275
60,110,278.97,24,24,272.939790725708,8,0,7,20.200702093561777,120.0,202.00702093561773
61,101,284.952,24,24,292.37155628204346,4,0,11,15.428124881816494,100.0,154.28124881816495
62,102,356.5,24,24,262.02464485168457,5,0,23,23.251167908247737,160.0,232.51167908247737
63,103,327.415,24,24,272.48542308807373,7,0,17,25.04855012531904,120.0,250.4855012531904
64,104,430.393,24,24,268.40577507019043,7,0,29,23.647409136433907,120.0,236.47409136433907
65,105,269.835,24,24,267.53361892700195,9,0,8,14.88793950962396,130.0,148.8793950962396
66,106,298.064,24,24,265.96521282196045,5,0,6,28.44927626423615,150.0,284.4927626423614
67,107,361.058,24,24,231.394540309906,16,0,23,13.68483883238265,160.0,136.8483883238265
68,108,306.159,24,24,278.9142646789551,5,0,16,25.285746487931554,120.0,252.85746487931553
69,109,409.406,24,24,265.8918046951294,5,0,24,17.027283022640834,150.0,170.27283022640833
70,110,253.161,24,24,285.4209747314453,6,0,2,13.596724081292422,110.0,135.96724081292422
71,101,378.755,24,24,262.035457611084,6,0,30,19.881802062627724,150.0,198.81802062627722
72,102,293.077,24,24,253.75868701934814,11,0,12,25.804376082046605,140.0,258.043760820466
73,103,466.434,24,24,266.5439467430115,4,0,27,28.186842244315333,140.0,281.8684224431533
74,104,254.924,24,24,281.44585609436035,10,0,5,11.847144260328172,90.0,118.47144260328172
75,105,291.278,24,24,263.7584066390991,10,0,11,10.805309918659347,130.0,108.05309918659349
76,106,295.045,24,24,266.2456622123718,5,0,8,25.847751720164595,150.0,258.477517201646
77,107,345.917,24,24,251.75006675720215,13,0,30,10.83310165889223,130.0,108.33101658892231
78,108,280.036,24,24,268.4917197227478,8,0,11,15.027596021129597,130.0,150.27596021129597
79,109,287.107,24,24,267.60026597976685,8,0,8,22.999080429157132,130.0,229.99080429157135
80,110,260.191,24,24,271.6209545135498,10,0,5,17.930154502284093,110.0,179.3015450228409
81,101,247.937,24,24,312.94876861572266,1,0,9,10.170780209574101,80.0,101.707802095741
82,102,306.238,24,24,252.34833526611328,9,0,5,32.17220519182657,150.0,321.7220519182657
83,103,456.257,24,24,284.42167568206787,2,0,30,23.59441959523652,110.0,235.9441959523651
84,104,464.334,24,24,271.5897045135498,7,0,42,21.367658423213093,110.0,213.67658423213098
85,105,292.466,24,24,295.2408170700073,5,0,14,9.197242882114718,90.0,91.97242882114719
